"","Gene","p-value","LogCPM","LogFC","Sequence.name","WBGeneID","DBD"
"1","B0310.2",0.0445908134318352,8.45307397307947,-1.22184449408077,"B0310.2","WBGene00015138","ZF - C2H2 - 2 fingers"
"2","bed-2",0.02057391656717,3.07972476707103,-2.58030682656194,"Y47D3B.9","WBGene00012943","ZF - BED x2"
"3","ceh-13",0.00846708985685453,6.41400705837707,-3.53299569576192,"R13A5.5","WBGene00000437","HD - HOX"
"4","ceh-41",0.0156615599753561,6.40988982269999,-2.57898817821329,"T26C11.5","WBGene00000462","HD - CUT"
"5","cey-1",0.0317915439166406,7.68985061847869,-1.53278823661596,"F33A8.3","WBGene00000472","COLD BOX"
"6","daf-12",2.07753215912502e-07,1.80280041239651,-5.45457290129219,"F11A1.3","WBGene00000908","ZF - NHR"
"7","daf-3",0.0163857885367263,4.91898113574593,-2.47913680338675,"F25E2.5","WBGene00000899","MH1"
"8","dmd-7",0.00565635351159884,5.06797843548713,-3.25652763842197,"K08B12.2","WBGene00019521","ZF - DM"
"9","dve-1",4.98609894977514e-43,7.33203634768944,-10.4055992562989,"ZK1193.5","WBGene00022861","HD - 2 domains"
"10","egl-27",0.0101033852484204,6.32022710577196,-2.09790690929293,"C04A2.3","WBGene00001194","ZF - GATA, MYB"
"11","elt-7",0.000106350435123213,7.00955072464733,-6.0502244537358,"C18G1.2","WBGene00015981","ZF - GATA"
"12","end-1",5.38341863277862e-30,7.00569743436051,-10.3659538717243,"F58E10.2","WBGene00001310","ZF - GATA"
"13","end-3",0.0333436375192432,4.1158379066734,-3.71983957317891,"F58E10.5","WBGene00001311","ZF - GATA"
"14","H02I12.5",0.000398517759479293,1.54523996884013,-3.86347658734498,"H02I12.5","WBGene00010353","Unknown"
"15","ham-2",5.67123820381372e-05,1.77517485659691,-5.43978852375394,"C07A12.1","WBGene00001821","ZF - C2H2 - 2 fingers"
"16","hmg-1.1",0.0119590319557797,10.8037664873692,-0.808420756792677,"Y48B6A.14","WBGene00001971","HMG box"
"17","K05F1.5",5.93011388535751e-06,5.78581217904879,-5.04464764865392,"K05F1.5","WBGene00019407","ZF - C2H2 - 1 finger"
"18","lin-28",0.000650600196847597,5.88542036812057,-3.38997687105962,"F02E9.2","WBGene00003014","COLD BOX"
"19","lir-2",1.29270729517027e-07,7.86055048194048,-3.71220252737137,"F18A1.4","WBGene00003045","ZF - C2H2 - 1 finger"
"20","mab-5",0.000734276711246235,3.72227710285946,-6.12258530421413,"C08C3.3","WBGene00003102","HD - HOX"
"21","med-1",1.78962692935591e-05,1.75649619898677,-5.28961603995385,"T24D3.1","WBGene00003180","ZF - GATA"
"22","mml-1",0.0270093764557604,4.51134855034423,-2.32030466775795,"T20B12.6","WBGene00003378","bHLH"
"23","nhr-10",0.0017293491827761,6.10748162533098,-3.35756507157446,"B0280.8","WBGene00003609","ZF - NHR"
"24","nhr-102",0.000934696894671641,5.24545328970723,-6.09745593637669,"T06C12.6","WBGene00003692","ZF - NHR"
"25","nhr-114",4.95011834851993e-07,4.1933214466052,-6.60235479818369,"Y45G5AM.1","WBGene00003704","ZF - NHR"
"26","nhr-119",7.62962325269015e-05,1.52869464390182,-3.65822784064014,"K12H6.1","WBGene00003709","ZF - NHR"
"27","nhr-120",0.00171516364740585,1.91121529535156,-4.93657869474586,"C25B8.6","WBGene00003710","ZF - NHR"
"28","nhr-131",2.52707803888475e-09,2.29409107151002,-6.93151904002691,"T01G6.2","WBGene00003721","ZF - NHR"
"29","nhr-132",2.24325705609928e-14,2.81817454595482,-7.89384218941269,"R11G11.1","WBGene00003722","ZF - NHR"
"30","nhr-139",0.0302103271132733,1.85640735909135,-3.75130413195695,"C33G8.8","WBGene00016365","ZF - NHR"
"31","nhr-140",1.0920705554326e-07,3.22835427301998,-8.33265066882733,"C33G8.9","WBGene00016366","ZF - NHR"
"32","nhr-162",2.16725013042255e-08,1.87396721309518,-5.77734492094866,"C33G8.10","WBGene00016367","ZF - NHR"
"33","nhr-176",1.23373718876162e-17,3.65933547633755,-8.9331087326346,"F14H3.11","WBGene00008830","ZF - NHR"
"34","nhr-192",2.39091343144422e-10,2.94989724422264,-8.09937190898016,"F57A8.5","WBGene00010180","ZF - NHR"
"35","nhr-193",2.79865410125406e-12,3.92741608729963,-8.9466332116121,"F57G8.6","WBGene00010215","ZF - NHR"
"36","nhr-232",8.06179279335611e-15,4.75855169530666,-8.89123187440664,"Y22F5A.1","WBGene00012494","ZF - NHR"
"37","nhr-258",1.18195043391257e-08,2.64609665180098,-7.60182218567097,"C26B2.4","WBGene00016126","ZF - NHR"
"38","nhr-274",0.0436275521174824,2.57481220833975,-3.39851438998303,"Y41D4B.21","WBGene00021522","ZF - NHR"
"39","nhr-28",1.60948318017075e-05,5.55086451656387,-5.3432275272733,"C11G6.4","WBGene00003624","ZF - NHR"
"40","nhr-31",2.10170968051464e-13,3.0795256235608,-8.00709703014475,"C26B2.3","WBGene00003625","ZF - NHR"
"41","nhr-34",0.00280397778948185,6.52355205388969,-2.95983687033564,"F58G6.5","WBGene00003627","ZF - NHR"
"42","nhr-42",1.8759300832803e-05,1.74772119790059,-5.24977032721213,"C33G8.6","WBGene00003632","ZF - NHR"
"43","nhr-45",0.0278177114803425,3.98727039208423,-3.7390937744268,"F16H11.5","WBGene00003635","ZF - NHR"
"44","nhr-53",3.34493359471071e-07,2.69667468634831,-7.68816782551984,"K06B4.11","WBGene00003643","ZF - NHR"
"45","nhr-57",0.00111682829155721,5.82608674358637,-4.55691087424004,"T05B4.2","WBGene00003647","ZF - NHR"
"46","nhr-68",6.8841328249111e-10,3.48078494190831,-8.58291279146163,"H12C20.3","WBGene00003658","ZF - NHR"
"47","nhr-69",0.0240019771953922,3.79030313825275,-4.08185196004663,"T23H4.2","WBGene00003659","ZF - NHR"
"48","nhr-84",0.0424275698069819,4.14581449851006,-3.93671107120392,"T06C12.7","WBGene00003674","ZF - NHR"
"49","nhr-89",2.17741433666206e-07,2.96228551323316,-8.11901146024842,"E03H4.13","WBGene00003679","ZF - NHR"
"50","nhr-91",0.00963572478831967,4.67725985105553,-3.99511861863096,"Y15E3A.1","WBGene00003681","ZF - NHR"
"51","nob-1",2.06089160342484e-10,2.9474581307549,-8.090205835216,"Y75B8A.2","WBGene00003779","HD - HOX"
"52","prx-5",7.6527970566149e-34,5.1038202536183,-10.5267787794363,"C34C6.6","WBGene00004194","Unknown"
"53","R05D3.3",0.000131481443870939,1.57100864961201,-4.10536432856975,"R05D3.3","WBGene00019878","ZF - C2H2 - 1 finger"
"54","rbr-2",0.0176633576207827,5.12433537839674,-2.21664177344866,"ZK593.4","WBGene00004319","ARID/BRIGHT"
"55","skn-1",0.00385438404608136,5.94455429378249,-3.10147449097017,"T19E7.2","WBGene00004804","bZIP"
"56","sknr-1",4.11200673436345e-08,2.38809151159072,-7.11925967249575,"W02H5.7","WBGene00020961","bZIP"
"57","somi-1",0.0339862463651426,2.16792230932733,-3.63438067455031,"M04G12.4","WBGene00010868","ZF - C2H2 - 1 finger"
"58","syd-9",1.86907743681122e-22,3.04281811933745,-8.09238550291388,"ZK867.1","WBGene00044068","ZF - C2H2 - 4 fingers"
"59","T26A5.8",0.0235470203106362,7.72533849851675,-1.1800886655338,"T26A5.8","WBGene00020823","CBF"
"60","tag-68",0.00144713468085804,3.89763688704156,-5.28829520308479,"F37D6.6","WBGene00006445","MH1"
"61","Y48C3A.12",0.00535463130446552,3.22427962638707,-3.29379815654904,"Y48C3A.12","WBGene00012994","TSC-22/dip/bun"
"62","Y82E9BR.17",0.0151623930324472,6.90762040872677,-1.85364410920146,"Y82E9BR.17","WBGene00022349","ZF - C2H2 - 1 finger"
"63","ztf-29",5.350563763625e-06,5.8777106533231,-3.53073774653028,"Y66D12A.12","WBGene00013438","ZF - C2H2 - 2 fingers"
