comparison	ID	cosmid_id	gene	AveExpr	t	P_Value	adj_P_Val	B	FC
L2-intestine_up_vs_L2-reference	WBGene00020352	T08B6.2	T08B6.2	7.52	13.02	0	0	34.64	7.51
L2-intestine_up_vs_L2-reference	WBGene00017225	F07G6.6	fbxa-52	7.28	11.23	0	0	28.2	5.32
L2-intestine_up_vs_L2-reference	WBGene00007973	C36B1.6	C36B1.6	7.91	9.48	0	0	21.49	5.93
L2-intestine_up_vs_L2-reference	WBGene00018683	F52D1.2	F52D1.2	8.27	9.47	0	0	21.46	5.1
L2-intestine_up_vs_L2-reference	WBGene00003696	T01G6.4	nhr-106	7.95	9.41	0	0	21.22	3.73
L2-intestine_up_vs_L2-reference	WBGene00044776	T02B11.8	T02B11.8	7.77	9.26	0	0	20.61	6.65
L2-intestine_up_vs_L2-reference	WBGene00008493	F01D5.2	F01D5.2	7.91	9.11	0	0	20.02	5.32
L2-intestine_up_vs_L2-reference	WBGene00010750	K10D11.6	K10D11.6	7.69	9.01	0	0	19.66	3.4
L2-intestine_up_vs_L2-reference	WBGene00001468	F09B12.6	flr-4	8.03	8.91	0	0	19.25	3.88
L2-intestine_up_vs_L2-reference	WBGene00020448	T12B5.1	fbxa-51	7.74	8.77	0	0	18.7	6.45
L2-intestine_up_vs_L2-reference	WBGene00006351	K03A1.5	sur-5	10.37	8.66	0	0	18.26	3.81
L2-intestine_up_vs_L2-reference	WBGene00002139	R12E2.4	inx-17	7.78	8.57	0	0	17.91	4.39
L2-intestine_up_vs_L2-reference	WBGene00008494	F01D5.3	F01D5.3	8.55	8.52	0	0	17.71	5.77
L2-intestine_up_vs_L2-reference	WBGene00009518	F38A1.5	clec-166	7.95	8.48	0	0	17.55	3.69
L2-intestine_up_vs_L2-reference	WBGene00021253	Y22D7AL.15	Y22D7AL.15	8.64	8.39	0	0	17.19	6.36
L2-intestine_up_vs_L2-reference	WBGene00017764	F25A2.1	F25A2.1	7.69	8.33	0	0	16.94	4.16
L2-intestine_up_vs_L2-reference	WBGene00019886	R05D8.9	R05D8.9	8.04	8.23	0	0	16.55	4.56
L2-intestine_up_vs_L2-reference	WBGene00009397	F35C5.9	clec-66	8.52	8.2	0	0	16.42	4.12
L2-intestine_up_vs_L2-reference	WBGene00022549	ZC196.5	ZC196.5	8.32	8.19	0	0	16.39	4.62
L2-intestine_up_vs_L2-reference	WBGene00007254	C01H6.4	C01H6.4	8.33	8.12	0	0	16.11	3.25
L2-intestine_up_vs_L2-reference	WBGene00045400	C54D10.13	C54D10.13	8.22	8.09	0	0	15.98	6.04
L2-intestine_up_vs_L2-reference	WBGene00015768	C14C11.4	C14C11.4	7.96	8.08	0	0	15.94	3.32
L2-intestine_up_vs_L2-reference	WBGene00018411	F44B9.10	F44B9.10	7.29	8.08	0	0	15.93	3.1
L2-intestine_up_vs_L2-reference	WBGene00010125	F55G11.5	dod-22	8.39	7.95	0	0	15.42	4.77
L2-intestine_up_vs_L2-reference	WBGene00050904	Y70C5A.3	Y70C5A.3	7.3	7.9	0	0	15.22	2.77
L2-intestine_up_vs_L2-reference	WBGene00020583	T19D12.9	T19D12.9	7.66	7.86	0	0	15.06	2.92
L2-intestine_up_vs_L2-reference	WBGene00007558	C14A4.7	C14A4.7	7.66	7.83	0	0	14.94	4.42
L2-intestine_up_vs_L2-reference	WBGene00008599	F09A5.2	F09A5.2	8.09	7.74	0	0	14.6	3.1
L2-intestine_up_vs_L2-reference	WBGene00003572	C07A9.11	ncx-7	7.95	7.7	0	0	14.44	3
L2-intestine_up_vs_L2-reference	WBGene00008692	F11C1.3	F11C1.3	8.2	7.7	0	0	14.44	3.6
L2-intestine_up_vs_L2-reference	WBGene00005001	F32D8.9	spp-16	8.52	7.69	0	0	14.39	4.43
L2-intestine_up_vs_L2-reference	WBGene00018200	F39E9.11	btb-17	8.16	7.59	0	0	13.98	5.13
L2-intestine_up_vs_L2-reference	WBGene00022574	ZC239.16	ZC239.16	7.53	7.56	0	0	13.87	5.04
L2-intestine_up_vs_L2-reference	WBGene00007097	B0024.4	B0024.4	8.16	7.55	0	0	13.84	5.25
L2-intestine_up_vs_L2-reference	WBGene00007875	C32H11.12	dod-24	8.63	7.51	0	0	13.68	5.88
L2-intestine_up_vs_L2-reference	WBGene00012501	Y26D4A.3	Y26D4A.3	7.77	7.5	0	0	13.64	5.31
L2-intestine_up_vs_L2-reference	WBGene00019744	M02H5.8	M02H5.8	8.72	7.47	0	0	13.51	4.02
L2-intestine_up_vs_L2-reference	WBGene00021519	Y41D4B.17	Y41D4B.17	8.13	7.45	0	0	13.43	3.03
L2-intestine_up_vs_L2-reference	WBGene00007937	C34E11.4	C34E11.4	7.37	7.38	0	0	13.16	4.09
L2-intestine_up_vs_L2-reference	WBGene00004993	C28C12.5	spp-8	8.88	7.37	0	0	13.13	3.95
L2-intestine_up_vs_L2-reference	WBGene00018195	F39E9.2	btb-16	8.93	7.37	0	0	13.12	4.54
L2-intestine_up_vs_L2-reference	WBGene00015333	C02C2.4	C02C2.4	7.93	7.36	0	0	13.07	3.93
L2-intestine_up_vs_L2-reference	WBGene00018435	F45C12.4	btb-9	8.21	7.36	0	0	13.06	4.22
L2-intestine_up_vs_L2-reference	WBGene00023485	E02C12.13	ttr-49	7.55	7.34	0	0	12.98	4.08
L2-intestine_up_vs_L2-reference	WBGene00001505	K08F8.3	fut-1	8.25	7.33	0	0	12.95	3.24
L2-intestine_up_vs_L2-reference	WBGene00021190	Y14H12A.1	Y14H12A.1	8.45	7.27	0	0	12.73	3.83
L2-intestine_up_vs_L2-reference	WBGene00044120	C36B1.13	C36B1.13	8	7.26	0	0	12.69	6.64
L2-intestine_up_vs_L2-reference	WBGene00002094	C17C3.4	ins-11	7.95	7.25	0	0	12.65	6.04
L2-intestine_up_vs_L2-reference	WBGene00022142	Y71G12B.2	Y71G12B.2	7.85	7.25	0	0	12.64	2.9
L2-intestine_up_vs_L2-reference	WBGene00045458	F17B5.8	F17B5.8	7.45	7.22	0	0	12.5	6.13
L2-intestine_up_vs_L2-reference	WBGene00018619	F48G7.8	F48G7.8	8.42	7.2	0	0	12.45	6.69
L2-intestine_up_vs_L2-reference	WBGene00008352	cTel54X.1	fbxa-6	8.14	7.18	0	0	12.35	4.41
L2-intestine_up_vs_L2-reference	WBGene00020943	W02D7.8	W02D7.8	7.52	7.16	0	0	12.29	3.6
L2-intestine_up_vs_L2-reference	WBGene00008633	F10A3.3	fbxa-18	7.69	7.14	0	0	12.19	6.04
L2-intestine_up_vs_L2-reference	WBGene00004037	Y75B12B.6	plc-2	9.02	7.09	0	0	12	2.64
L2-intestine_up_vs_L2-reference	WBGene00001158	F01G10.3	ech-9	7.92	7.05	0	0	11.85	3.47
L2-intestine_up_vs_L2-reference	WBGene00010086	F55B11.4	F55B11.4	8.86	7.05	0	0	11.85	5.05
L2-intestine_up_vs_L2-reference	WBGene00011936	T22H2.6	T22H2.6	9	7.02	0	0	11.74	2.9
L2-intestine_up_vs_L2-reference	WBGene00008709	F11E6.6	F11E6.6	8.27	7.01	0	0	11.68	3.64
L2-intestine_up_vs_L2-reference	WBGene00004196	C47B2.8	prx-11	8.04	7	0	0	11.66	3.67
L2-intestine_up_vs_L2-reference	WBGene00021340	Y34F4.5	Y34F4.5	9.42	6.98	0	0	11.55	3.53
L2-intestine_up_vs_L2-reference	WBGene00044296	F10C1.9	F10C1.9	8.29	6.96	0	0	11.5	3.83
L2-intestine_up_vs_L2-reference	WBGene00002118	K02E2.4	ins-35	8.5	6.94	0	0	11.42	5.67
L2-intestine_up_vs_L2-reference	WBGene00017091	E02C12.4	ttr-40	7.47	6.94	0	0	11.39	4.42
L2-intestine_up_vs_L2-reference	WBGene00000084	D2030.10	aex-1	7.65	6.93	0	0	11.37	2.33
L2-intestine_up_vs_L2-reference	WBGene00013035	Y49E10.16	Y49E10.16	8.29	6.92	0	0	11.32	3.91
L2-intestine_up_vs_L2-reference	WBGene00008492	F01D5.1	F01D5.1	9.42	6.92	0	0	11.31	3.3
L2-intestine_up_vs_L2-reference	WBGene00017553	F18A12.4	F18A12.4	7.56	6.92	0	0	11.31	2.68
L2-intestine_up_vs_L2-reference	WBGene00022326	Y82E9BL.10	fbxa-14	8.97	6.92	0	0	11.31	4.04
L2-intestine_up_vs_L2-reference	WBGene00018760	F53E10.4	F53E10.4	7.89	6.91	0	0	11.27	3.36
L2-intestine_up_vs_L2-reference	WBGene00009571	F40D4.12	F40D4.12	7.22	6.9	0	0	11.27	2.47
L2-intestine_up_vs_L2-reference	WBGene00006679	C33D12.3	twk-26	8.29	6.9	0	0	11.26	3.16
L2-intestine_up_vs_L2-reference	WBGene00002095	C17C3.19	ins-12	7.8	6.86	0	0	11.09	4
L2-intestine_up_vs_L2-reference	WBGene00006965	F54F7.4	xtr-1	7.7	6.84	0	0	11.02	2.82
L2-intestine_up_vs_L2-reference	WBGene00011166	R09D1.10	R09D1.10	7.66	6.82	0	0	10.95	3.04
L2-intestine_up_vs_L2-reference	WBGene00010745	K10D11.1	dod-17	7.93	6.82	0	0	10.92	3.66
L2-intestine_up_vs_L2-reference	WBGene00018384	F43C11.7	F43C11.7	8.99	6.82	0	0	10.92	4.91
L2-intestine_up_vs_L2-reference	WBGene00010680	K08F4.12	K08F4.12	8.18	6.77	0	0	10.74	4.55
L2-intestine_up_vs_L2-reference	WBGene00012910	Y46G5A.20	Y46G5A.20	8.92	6.74	0	0	10.64	5.42
L2-intestine_up_vs_L2-reference	WBGene00018343	F42A10.7	F42A10.7	8.44	6.74	0	0	10.62	4.74
L2-intestine_up_vs_L2-reference	WBGene00021401	Y38C1AA.11	prdx-6	8.89	6.73	0	0	10.6	3.03
L2-intestine_up_vs_L2-reference	WBGene00016450	C35D10.14	clec-5	8.26	6.72	0	0	10.52	3.15
L2-intestine_up_vs_L2-reference	WBGene00012729	Y39G8B.10	Y39G8B.10	8.37	6.71	0	0	10.51	3.23
L2-intestine_up_vs_L2-reference	WBGene00017226	F07G6.7	fbxa-53	7.19	6.69	0	0	10.41	3.44
L2-intestine_up_vs_L2-reference	WBGene00012911	Y46G5A.21	acl-7	8.45	6.67	0	0	10.34	2.73
L2-intestine_up_vs_L2-reference	WBGene00077559	R05D7.7	R05D7.7	8.6	6.67	0	0	10.34	4.38
L2-intestine_up_vs_L2-reference	WBGene00015728	C13A10.1	C13A10.1	8.13	6.65	0	0	10.27	2.65
L2-intestine_up_vs_L2-reference	WBGene00021872	Y54G2A.6	clec-85	9.04	6.65	0	0	10.26	3.66
L2-intestine_up_vs_L2-reference	WBGene00006464	T07H3.1	bath-47	8.45	6.64	0	0	10.21	2.52
L2-intestine_up_vs_L2-reference	WBGene00007945	C34F6.11	C34F6.11	8.17	6.62	0	0	10.15	3.56
L2-intestine_up_vs_L2-reference	WBGene00022047	Y66H1A.5	Y66H1A.5	8.74	6.62	0	0	10.13	4.46
L2-intestine_up_vs_L2-reference	WBGene00002260	T22G5.6	lbp-8	7.25	6.61	0	0	10.1	4.43
L2-intestine_up_vs_L2-reference	WBGene00020325	T07H3.2	bath-46	8.72	6.59	0	0	10.05	3.64
L2-intestine_up_vs_L2-reference	WBGene00019368	K03H6.2	K03H6.2	8.45	6.59	0	0	10.02	3.51
L2-intestine_up_vs_L2-reference	WBGene00007536	C12D8.5	daf-36	8.55	6.59	0	0	10.02	3.33
L2-intestine_up_vs_L2-reference	WBGene00022490	Y119D3B.13	Y119D3B.13	9.01	6.58	0	0	10.01	3.01
L2-intestine_up_vs_L2-reference	WBGene00016027	C23H5.8	C23H5.8	8.31	6.58	0	0	9.99	4.2
L2-intestine_up_vs_L2-reference	WBGene00020449	T12B5.2	fbxa-54	7.99	6.57	0	0	9.93	5.08
L2-intestine_up_vs_L2-reference	WBGene00019511	K08A2.1	K08A2.1	11.29	6.56	0	0	9.91	3.54
L2-intestine_up_vs_L2-reference	WBGene00007885	C33A12.6	ugt-21	7.83	6.56	0	0	9.9	2.69
L2-intestine_up_vs_L2-reference	WBGene00044241	C53D6.11	C53D6.11	7.37	6.55	0	0	9.87	2.86
L2-intestine_up_vs_L2-reference	WBGene00012452	Y17D7B.4	Y17D7B.4	9.71	6.53	0	0	9.8	5.13
L2-intestine_up_vs_L2-reference	WBGene00008698	F11D11.3	F11D11.3	7.45	6.53	0	0	9.8	4.9
L2-intestine_up_vs_L2-reference	WBGene00010545	K03H1.10	K03H1.10	8.78	6.52	0	0	9.76	4.33
L2-intestine_up_vs_L2-reference	WBGene00011439	T04F3.4	T04F3.4	8.3	6.51	0	0	9.71	4.76
L2-intestine_up_vs_L2-reference	WBGene00050957	C10A4.10	C10A4.10	7.3	6.51	0	0	9.7	3.14
L2-intestine_up_vs_L2-reference	WBGene00015739	C13D9.9	ugt-7	7.84	6.47	0	0	9.56	2.55
L2-intestine_up_vs_L2-reference	WBGene00018779	F53H8.3	F53H8.3	8.22	6.45	0	0	9.47	2.7
L2-intestine_up_vs_L2-reference	WBGene00007112	B0035.13	B0035.13	8.38	6.45	0	0	9.47	2.93
L2-intestine_up_vs_L2-reference	WBGene00018646	F49F1.6	F49F1.6	8.54	6.44	0	0	9.43	4.77
L2-intestine_up_vs_L2-reference	WBGene00000799	K04H4.6	crn-6	8.36	6.43	0	0	9.42	4.77
L2-intestine_up_vs_L2-reference	WBGene00008042	C40H1.7	C40H1.7	7.86	6.41	0	0	9.34	3.85
L2-intestine_up_vs_L2-reference	WBGene00004811	F47H4.10	skr-5	8.78	6.41	0	0	9.31	4.67
L2-intestine_up_vs_L2-reference	WBGene00044457	C18H7.11	C18H7.11	7.71	6.4	0	0	9.3	2.75
L2-intestine_up_vs_L2-reference	WBGene00009192	F27E5.1	F27E5.1	8.6	6.4	0	0	9.28	3.25
L2-intestine_up_vs_L2-reference	WBGene00007072	AC3.7	ugt-1	7.43	6.39	0	0	9.25	2.39
L2-intestine_up_vs_L2-reference	WBGene00077525	C41G7.8	C41G7.8	8.71	6.39	0	0	9.24	5.76
L2-intestine_up_vs_L2-reference	WBGene00020954	W02G9.4	W02G9.4	9.1	6.39	0	0	9.23	3.4
L2-intestine_up_vs_L2-reference	WBGene00021500	Y40C7B.4	Y40C7B.4	8.11	6.38	0	0	9.2	5.28
L2-intestine_up_vs_L2-reference	WBGene00010128	F55G11.8	F55G11.8	8.3	6.37	0	0	9.15	3.93
L2-intestine_up_vs_L2-reference	WBGene00017599	F19F10.3	F19F10.3	8.72	6.36	0	0	9.14	3.7
L2-intestine_up_vs_L2-reference	WBGene00019869	R04E5.2	R04E5.2	8.08	6.36	0	0	9.14	2.32
L2-intestine_up_vs_L2-reference	WBGene00008425	D2045.8	D2045.8	8.22	6.36	0	0	9.13	3.79
L2-intestine_up_vs_L2-reference	WBGene00020938	W02D7.2	clec-218	7.51	6.33	0	0	9.01	2.88
L2-intestine_up_vs_L2-reference	WBGene00004030	F07C6.1	pin-2	7.99	6.28	0	0	8.83	2.72
L2-intestine_up_vs_L2-reference	WBGene00013900	ZC443.5	ugt-18	7.78	6.25	0	0	8.72	3.09
L2-intestine_up_vs_L2-reference	WBGene00014106	ZK856.5	ZK856.5	8.18	6.25	0	0	8.7	2.67
